Table 2 
Millimeter-wave Continuum Photometry Catalog


Name	Spectral Type^a	Ref.^b	F_0.89mm^c	F_1.3mm^c	Notes^d	
(Jy)	(Jy)	
IRAS 04108+2910	M0	1	<0.0517	<0.0198	e, m	
J04141188+2811535	M6.25	1	<0.0509	<0.0195	e, m	
FM Tau	M0	1	0.0288 +or- 0.0091	0.0131 +or- 0.0027	m, e	
FN Tau	M5	1	0.0365 +or- 0.0050	0.0168 +or- 0.0021	m, e	
CW Tau	K3	1	0.1601 +or- 0.0268	0.0523 +or- 0.0070	m, m	
CIDA 1	M5.5	1	0.0353 +or- 0.0174	0.0135 +or- 0.0028	e, m	
MHO 1	M2.5	1	0.5295 +or- 0.1207	0.2493 +or- 0.0311	e, m	
MHO 2 AB	M2.5, M5.5 +or- 3	1, est	0.3017 +or- 0.0555	0.1377 +or- 0.0142	e, m	
MHO 3 AB	K7, M2 +or- 3	1, est	<0.0313	<0.0120	e, m	
FP Tau	M4	1	<0.0243	<0.0093	e, m	
CX Tau	M2.5	1	0.0251 +or- 0.0076	0.0094 +or- 0.0023	m, e	
FO Tau A	M3.5	2	0.0130 +or- 0.0030	0.0050 +or- 0.0025	(m, e)	
FO Tau B	M3.5	2	<0.0090	<0.0034	(m, e)	
J04153916+2818586	M3.75	1	0.0350 +or- 0.0161	0.0134 +or- 0.0014	e, m	
IRAS 04125+2902	M1.25	1	0.0400 +or- 0.0042	0.0199 +or- 0.0025	m, m	
J04155799+2746175	M5.5	1	0.0329 +or- 0.0152	0.0126 +or- 0.0014	e, m	
J04161210+2756385	M4.75	1	<0.0110	<0.0042	e, m	
J04163911+2858491	M5.5	1	<0.0065	<0.0025	e, m	
CY Tau	M1.5	1	0.1637 +or- 0.0130	0.0794 +or- 0.0059	m, m	
KPNO 10	M5	1	0.0204 +or- 0.0098	0.0078 +or- 0.0014	e, m	
V410 X-ray 1	M4	1	<0.0090	<0.0034	m, e	
V409 Tau	M1.5	1	0.0488 +or- 0.0222	0.0187 +or- 0.0014	e, m	
V410 Anon 13	M5.75	1	<0.0235	<0.0090	e, m	
DD Tau A	M3.5	2	0.0240 +or- 0.0030	0.0092 +or- 0.0043	e, m	
DD Tau B	M3.5	2	0.0090 +or- 0.0030	0.0034 +or- 0.0019	e, m	
CZ Tau A	M3	1	<0.0090	<0.0034	m, e	
CZ Tau B	M6 +or- 3	est	<0.0090	<0.0034	m, e	
V410 X-ray 2	M0	1	0.0261 +or- 0.0034	0.0154 +or- 0.0023	m, m	
V892 Tau AB	B8 +or- 3, B8 +or- 3	3	0.5922 +or- 0.0586	0.2290 +or- 0.0145	m, m	
LR 1	K4.5	1	0.0804 +or- 0.0363	0.0308 +or- 0.0016	e, m	
V410 X-ray 7 AB	M0.75, M2.75 +or- 2	1, est	<0.0340	<0.0130	e, m	
V410 X-ray 6	M5.5	1	<0.0055	<0.0021	e, m	
KPNO 12	M9	1	<0.0055	<0.0021	e, m	
FQ Tau A	M3	2	0.0080 +or- 0.0020	0.0031 +or- 0.0016	m, e	
FQ Tau B	M3.5	2	<0.0050	<0.0019	m, e	
BP Tau	K7	1	0.1297 +or- 0.0115	0.0415 +or- 0.0022	m, m	
V819 Tau	K7	1	<0.0090	<0.0025	m, m	
FR Tau	M5.25	1	<0.0392	<0.0150	e, m	
J04201611+2821325	M6.5	1	<0.0044	<0.0017	e, m	
J04202144+2813491	M1	1	0.1369 +or- 0.0615	0.0524 +or- 0.0015	e, m	
J04202555+2700355	M5.25	1	0.0219 +or- 0.0105	0.0084 +or- 0.0014	e, m	
IRAS 04173+2812	M4	1	<0.0052	<0.0020	e, m	
J04202606+2804089	M3.5	1	<0.0112	<0.0043	e, m	
J04210795+2702204	M5.25	1	<0.0071	<0.0027	e, m	
J04210934+2750368	M5.25	1	<0.0047	<0.0018	e, m	
J04213459+2701388	M5.5	1	<0.0078	<0.0030	e, m	
IRAS 04187+1927	M0	1	<0.0165	<0.0063	e, m	
J04214631+2659296	M5.75	1	<0.0102	<0.0039	e, m	
DE Tau	M1	1	0.0843 +or- 0.0103	0.0311 +or- 0.0031	m, m	
RY Tau	K1	1	0.4987 +or- 0.0334	0.1925 +or- 0.0091	m, m	
T Tau N	K0	1	0.5707 +or- 0.0431	0.2272 +or- 0.0126	m, m	
FS Tau A	M0	2	0.0449 +or- 0.0085	0.0182 +or- 0.0051	(m, e)	
FS Tau B	M3.5	2	<0.0255	<0.0101	(m, e)	
J04221675+2654570	M1.5	1	<0.0110	<0.0042	e, m	
IRAS 04196+2638	M1	1	0.1332 +or- 0.0599	0.0510 +or- 0.0012	e, m	
J04230607+2801194	M6	1	0.0133 +or- 0.0066	0.0051 +or- 0.0011	e, m	
IRAS 04200+2759	M2	4	0.0956 +or- 0.0430	0.0366 +or- 0.0013	e, m	
J04231822+2641156	M3.5	1	<0.0102	<0.0039	e, m	
FU Tau A	M7.25	1	<0.0044	<0.0017	e, m	
FU Tau B	M9.25	1	<0.0044	<0.0017	e, m	
FT Tau	(K6-M3.5)	1	0.1217 +or- 0.0095	0.0629 +or- 0.0043	m, m	
J04242090+2630511	M6.5	1	<0.0037	<0.0014	e, m	
J04242646+2649503	M5.75	1	<0.0078	<0.0030	e, m	
IRAS 04216+2603	M0.5	1	<0.0517	0.0198	e, m	
IP Tau	M0	1	0.0320 +or- 0.0058	0.0088 +or- 0.0015	m, m	
KPNO 3	M6	1	0.0151 +or- 0.0075	0.0058 +or- 0.0012	e, m	
FV Tau A	K5	2	0.0150 +or- 0.0010	0.0057 +or- 0.0026	m, e	
FV Tau B	K6	5	0.0110 +or- 0.0010	0.0042 +or- 0.0019	m, e	
FV Tau/c A	M2.5	2	<0.0050	<0.0019	m, e	
FV Tau/c B	M3.5	2	<0.0050	<0.0019	m, e	
KPNO 13	M5	1	<0.0094	<0.0036	e, m	
DF Tau AB	M2, M2.5	2, 2	0.0088 +or- 0.0019	0.0034 +or- 0.0017	m, e	
DG Tau	K6	1	0.9447 +or- 0.0780	0.3442 +or- 0.0178	m, m	
J04284263+2714039 A	M5.25	1	<0.0078	<0.003	e, m	
J04284263+2714039 B	M7 +or- 2	est	<0.0078	<0.003	e, m	
J04290068+2755033	M8.25	1	<0.0042	<0.0016	e, m	
IRAS 04260+2642	K5.5	1	0.2706 +or- 0.0500	0.1200 +or- 0.0100	e, m	
IRAS 04263+2654	M5.25	1	<0.0091	<0.0035	e, m	
XEST 13-010	M3	1	0.0397 +or- 0.0181	0.0152 +or- 0.0012	e, m	
DH Tau A	M1	1	0.0470 +or- 0.0040	0.0180 +or- 0.0082	m, e	
DH Tau B	M7.5	6	<0.0100	<0.0038	m, e	
IQ Tau	M0.5	1	0.1668 +or- 0.0158	0.0619 +or- 0.0045	m, m	
J04295950+2433078	M5	1	<0.0089	<0.0034	e, m	
UX Tau A	K2	7	0.1494 +or- 0.0106	0.0545 +or- 0.0083	m, m	
KPNO 6	M8.5	1	<0.0063	<0.0024	e, m	
FX Tau A	M1	8	0.0240 +or- 0.0030	0.0092 +or- 0.0043	m, e	
FX Tau B	M4	8	<0.0050	<0.0019	m, e	
DK Tau A	K8	8	0.0575 +or- 0.0077	0.0166 +or- 0.0033	m, e	
DK Tau B	M1	8	<0.0030	<0.0011	m, e	
ZZ Tau AB	M3, M4.5 +or- 2	1, est	<0.0080	<0.0031	m, e	
ZZ Tau IRS	M5	1	0.2763 +or- 0.1241	0.1058 +or- 0.0015	e, m	
KPNO 7	M8.25	1	<0.0068	<0.0026	e, m	
JH 56	M0.5	1	<0.0080	<0.0031	m, e	
XZ Tau A	M2	2	0.0100 +or- 0.0020	0.0038 +or- 0.0019	(m, e)	
XZ Tau B	M3.5	2	<0.0060	<0.0023	(m, e)	
HK Tau A	M0.5	1	0.0811 +or- 0.0089	0.0313 +or- 0.0022	m, m	
HK Tau B	M2	1	0.0456 +or- 0.0059	0.0145 +or- 0.0018	m, m	
V710 Tau A^e	M0.5	1	0.1193 +or- 0.0142	0.0299 +or- 0.0045	m, m	
LkHalpha 267	M3	9	<0.0220	<0.0120	m, m	
Haro 6-13	M0	1	0.2735 +or- 0.0294	0.1196 +or- 0.0057	m, m	
MHO 5	M6	1	<0.0235	<0.0090	e, m	
MHO 6	M4.75	1	0.353 +or- 0.0167	0.0135 +or- 0.0020	e, m	
J04322415+2251083	M4.5	1	<0.0157	<0.0060	e, m	
GG Tau Aab	K7, M0.5	10, 10	1.3447 +or- 0.0907	0.4644 +or- 0.0239	m, m	
GG Tau Ba	M5.5	10	<0.0183	<0.0070	e, m	
GG Tau Bb	M7.5	10	<0.0183	<0.0070	e, m	
FY Tau	K5	1	0.0376 +or- 0.0068	0.0138 +or- 0.0051	e, m	
FZ Tau	M0	1	0.0306 +or- 0.0068	0.0137 +or- 0.0024	m, e	
UZ Tau Wa	M2	2	0.0354 +or- 0.0039	0.0162 +or- 0.0039	m, m	
UZ Tau Wb	M3	2	0.0401 +or- 0.0043	0.0310 +or- 0.0041	m, m	
UZ Tau Eab	M1, M4	11, 11	0.3472 +or- 0.0343	0.1281 +or- 0.0073	m, m	
