Sources			Parallax		Parallax Error		Source of data		Luminosity(log(L_{\star}/L_{\odot}))
J15530132-2114135	6.833355085243608	0.11854895090072219	GAIA 3			-1.39
J15582981-2310077	6.779309691424724	0.12813285200458513	GAIA 3			-1.13
J15583692-2257153	5.975928341435297	0.018207638		GAIA 3			0.47
J16001844-2230114	7.263932044326898	0.42990888032311886	GAIA 3			-1.18
J16014086-2258103	7.360859295911665	0.06813531		GAIA 3			-1.15
J16020757-2257467	7.108355492091409	0.019823104		GAIA 3			-0.849
J16024152-2138245	7.115285328781444	0.064142175		GAIA 3			-1.46
J16035767-2031055	7.000125933210199	0.02169609		GAIA 3			0.185
J16042165-2130284	6.881876656734142	0.026924452		GAIA 3			-0.21
J16054540-2023088	7.209021486675099	0.04461027		GAIA 3			0.899
J16062196-1928445	6.896551724		1.10345			ASSUMPTION 0		-0.25
J16072625-2432079	6.917225554096571	0.025039328		GAIA 3			0.933
J16075796-2040087	7.31446710992297	0.13291627		GAIA 3			-0.548
J16082324-1930009	7.255978594052163	0.022763375		GAIA 3			-0.633
J16090075-1908526	7.278158531593608	0.02424478		GAIA 3			-0.495
J16111330-2019029	6.438629505636264	0.062387584080980135	GAIA 3			-0.7
J16113134-1838259	7.572337525873877	0.07182364		GAIA 3			0.341
J16123916-1859284	7.3822918775460575	0.018182652		GAIA 3			-0.536
J16135434-2320342	6.896551724		1.103448		ASSUMPTION 0		-1.07
J16141107-2305362	6.896551724		1.10345			ASSUMPTION 0		0.43
J16142029-1906481	7.1489854586669175	0.04970963		GAIA 3			-0.342
J16153456-2242421	7.25227215104136	0.05444504		GAIA 3			-0.162
J16154416-1921171	7.887779935510381	0.08396571		GAIA 3			-0.393
J16181904-2028479	7.159578384562405	0.056932516		GAIA 3			-1.36
