Sources              Temperature(K)    \alpha_{Planck}    \beta    \kappa_{3mm}    \kappa_{0.87mm}
-----------------  ----------------  -----------------  -------  --------------  -----------------
J15530132-2114135             21.91               1.76     0.13            7.45               8.69
J15582981-2310077             16.02               1.67     0.27            5.43               7.48
J15583692-2257153             21.74               1.76     1.19            0.68               2.78
J16001844-2230114             12.55               1.56     0.43            3.79               6.3
J16014086-2258103             11.96               1.54     0.56            2.8                5.45
J16020757-2257467             11.15               1.5      0.49            3.34               5.93
J16024152-2138245             10.92               1.49     0.39            4.1                6.54
J16035767-2031055             10.45               1.46     0.5             3.2                5.81
J16042165-2130284             13.46               1.6      1.42            0.4                2.16
J16054540-2023088             16.64               1.68     0.02            9.51               9.76
J16062196-1928445             15.89               1.66    -0.09           12.15              10.97
J16072625-2432079             13.59               1.6      0.49            3.3                5.9
J16075796-2040087             22.73               1.77     0.15            7.14               8.52
J16082324-1930009             10.72               1.48     0.73            1.93               4.57
J16090075-1908526             12.28               1.55     0.71            2.03               4.68
J16111330-2019029             29.27               1.83    -0.19           15.27              12.23
J16113134-1838259             19.09               1.73     0.63            2.39               5.06
J16123916-1859284             13.02               1.58     0.69            2.11               4.77
J16135434-2320342             21.26               1.76    -0.25           17.64              13.11
J16141107-2305362             29.11               1.83    -0.23           16.79              12.8
J16142029-1906481             18.77               1.72     0.41            3.94               6.41
J16153456-2242421             24.58               1.79     0.08            8.35               9.18
J16154416-1921171             30.79               1.84     0.21            6.15               7.93
J16181904-2028479             17.23               1.69     0.14            7.34               8.63
