Sources              M_{3mm}(M_{\quad})    M_{0.88mm}(M_{\quad})    Mass Integral
-----------------  --------------------  -----------------------  ---------------
J15530132-2114135                0.0186                   0.0005             0.72
J15582981-2310077                0.0466                   0.0015             0.8
J15583692-2257153                2.4186                   0.0039           152.81
J16001844-2230114                0.0904                   0.0036             0.74
J16014086-2258103                0.0768                   0.0032             0.64
J16020757-2257467                0.1413                   0.0074             0.75
J16024152-2138245                0.2655                   0.005              2.4
J16035767-2031055                0.1479                   0.0137             0.84
J16042165-2130284               10.0244                   0.0384           152.81
J16054540-2023088                0.0409                   0.0008             0.85
J16062196-1928445                0.0239                   0.0031             0.18
J16072625-2432079                0.2146                   0.004              2.15
J16075796-2040087                0.067                    0.0003             5.88
J16082324-1930009                1.6198                   0.0312            12.14
J16090075-1908526                1.1627                   0.023              7.32
J16111330-2019029                0.0065                   0.0002             0.38
J16113134-1838259                6.2804                   0.0061           152.81
J16123916-1859284                0.1198                   0.0059             0.7
J16135434-2320342                0.0178                   0.0003             1.54
J16141107-2305362                0.0055                   0.0002             0.37
J16142029-1906481                0.2524                   0.0014             6.35
J16153456-2242421                0.0253                   0.0003             1.15
J16154416-1921171                0.0324                   0.0002             3.07
J16181904-2028479                0.0259                   0.0007             0.62
